Metadata_JCP2022	Metadata_InChIKey	Metadata_pert_iname
JCP2022_091376	UTBSBSOBZHXMHI-UHFFFAOYSA-N	CGP-74514
JCP2022_067332	PAOANWZGLPPROA-UHFFFAOYSA-N	CGS-21680
JCP2022_072471	QCBUAKLOWCOUCR-UHFFFAOYSA-N	CGS-9896
JCP2022_095212	VOBHSEZBXFNLOQ-UHFFFAOYSA-N	CH-5183284
JCP2022_050054	LKTNEXPODAWWFM-UHFFFAOYSA-N	CH223191
JCP2022_039210	JEGHXKRHKHPBJD-UHFFFAOYSA-N	CH5132799
JCP2022_001138	AFVLVVWMAFSXCK-UHFFFAOYSA-N	CHC
JCP2022_080754	RUDATBOHQWOJDD-UHFFFAOYSA-N	chenodeoxycholic-acid
JCP2022_080754	RUDATBOHQWOJDD-UHFFFAOYSA-N	ursodiol
JCP2022_049743	LIYLTQQDABRNRX-UHFFFAOYSA-N	CHF5074
JCP2022_101793	WXHHICFWKXDFOW-UHFFFAOYSA-N	chidamide
JCP2022_055569	MOVBBVMDHIRCTG-UHFFFAOYSA-N	CHIR-124
JCP2022_053524	MDZCSIDIPDZWKL-UHFFFAOYSA-N	CHIR-98014
JCP2022_003104	AQGNHMOJWBZFQQ-UHFFFAOYSA-N	CHIR-99021
JCP2022_064275	OJYGBLRPYBAHRT-UHFFFAOYSA-N	chloralose
JCP2022_038869	JCKYGMPEJWAADB-UHFFFAOYSA-N	chlorambucil
JCP2022_062060	NXTVQNIVUKXOIL-UHFFFAOYSA-N	chloramine-T
JCP2022_098957	WIIZWVCIJKGZOK-UHFFFAOYSA-N	chloramphenicol
JCP2022_049699	LIRCDOVJWUGTMW-UHFFFAOYSA-N	chloramphenicol-sodium-succinate
JCP2022_110468	YRZQHIVOIFJEEE-UHFFFAOYSA-N	chlorazanil
JCP2022_098414	WFNAKBGANONZEQ-UHFFFAOYSA-N	chlorcyclizine
JCP2022_025574	GHXZTYHSJHQHIJ-UHFFFAOYSA-N	chlorhexidine
JCP2022_059348	NJDUWAXIURWWLN-UHFFFAOYSA-N	chlorindione
JCP2022_024310	GBFMXJIPEWEABS-UHFFFAOYSA-N	chlormadinone-acetate
JCP2022_098250	WEQAYVWKMWHEJO-UHFFFAOYSA-N	chlormezanone
JCP2022_065761	OSASVXMJTNOKOY-UHFFFAOYSA-N	chlorobutanol
JCP2022_010782	CFKMVGJGLGKFKI-UHFFFAOYSA-N	chlorocresol
JCP2022_013951	CWVRJTMFETXNAD-UHFFFAOYSA-N	chlorogenic-acid
JCP2022_093156	VDANGULDQQJODZ-UHFFFAOYSA-N	chloroprocaine
JCP2022_034184	ICKFFNBDFNZJSX-UHFFFAOYSA-N	chloropyramine
JCP2022_098848	WHTVZRBIWZFKQO-UHFFFAOYSA-N	chloroquine
JCP2022_038708	JBMKAUGHUNFTOL-UHFFFAOYSA-N	chlorothiazide
JCP2022_006006	BFPSDSIWYFKGBC-UHFFFAOYSA-N	chlorotrianisene
JCP2022_098004	WDFKMLRRRCGAKS-UHFFFAOYSA-N	chloroxine
JCP2022_065778	OSDLLIBGSJNGJE-UHFFFAOYSA-N	chloroxylenol
JCP2022_084675	SOYKEARSMXGVTM-UHFFFAOYSA-N	chlorphenamine
JCP2022_084675	SOYKEARSMXGVTM-UHFFFAOYSA-N	dexchlorpheniramine
JCP2022_057195	MXOAEAUPQDYUQM-UHFFFAOYSA-N	chlorphenesin
JCP2022_045173	KKHPNPMTPORSQE-UHFFFAOYSA-N	chlorphenoxamine
JCP2022_083861	SKPLBLUECSEIFO-UHFFFAOYSA-N	chlorphensin-carbamate
JCP2022_114781	ZPEIMTDSQAKGNT-UHFFFAOYSA-N	chlorpromazine
JCP2022_079028	RKWGIWYCVPQPMF-UHFFFAOYSA-N	chlorpropamide
JCP2022_100895	WSPOMRSOLSGNFJ-UHFFFAOYSA-N	chlorprothixene
JCP2022_082130	SBPBAQFWLVIOKP-UHFFFAOYSA-N	chlorpyrifos
JCP2022_027006	GPTXWRGISTZRIO-UHFFFAOYSA-N	chlorquinaldol
JCP2022_079548	RNPLSXLZRGPQCU-UHFFFAOYSA-N	chlortetracycline
JCP2022_040057	JIVPVXMEBJLZRO-UHFFFAOYSA-N	chlorthalidone
JCP2022_087709	TZFWDZFKRBELIQ-UHFFFAOYSA-N	chlorzoxazone
JCP2022_076759	QYSXJUFSXHHAJI-UHFFFAOYSA-N	cholecalciferol
JCP2022_032956	HVYWMOMLDIMFJA-UHFFFAOYSA-N	cholesterol
JCP2022_006424	BHQCQFFYRZLCQQ-UHFFFAOYSA-N	cholic-acid
JCP2022_063370	OEYIOHPDSNJKLS-UHFFFAOYSA-N	choline
JCP2022_014569	CZZCAOGIEGXMBZ-UHFFFAOYSA-N	CHR-6494
JCP2022_083493	SIOXPEMLGUPBBT-UHFFFAOYSA-N	chromium-picolinate
JCP2022_083493	SIOXPEMLGUPBBT-UHFFFAOYSA-N	picolinic-acid
JCP2022_080998	RVMGXWBCQGAWBR-UHFFFAOYSA-N	chromocarb
JCP2022_080610	RTIXKCRFFJGDFG-UHFFFAOYSA-N	chrysin
JCP2022_051062	LQGUBLBATBMXHT-UHFFFAOYSA-N	chrysophanic-acid
JCP2022_020878	FINHMKGKINIASC-UHFFFAOYSA-N	chuanxiongzine
JCP2022_068333	PFTAWBLQPZVEMU-UHFFFAOYSA-N	cianidanol
JCP2022_089022	UGGUCACMQFGWAH-UHFFFAOYSA-N	ciclesonide
JCP2022_082294	SCKYRAXSEDYPSA-UHFFFAOYSA-N	ciclopirox
JCP2022_093867	VGUQVYZXABOXCX-UHFFFAOYSA-N	CID-16020046
JCP2022_105340	XQJWTJLJEYIUDZ-UHFFFAOYSA-N	CID-2011756
JCP2022_077277	RBLWGWDMUXGUPI-UHFFFAOYSA-N	cidofovir
JCP2022_091659	UUNQYGUCVSFAME-UHFFFAOYSA-N	cilastatin
JCP2022_030182	HHHKFGXWKKUNCY-UHFFFAOYSA-N	cilazapril
JCP2022_002381	AMLYAMJWYAIXIA-UHFFFAOYSA-N	cilengitide
JCP2022_009407	BYAAPSQQRDMOAQ-UHFFFAOYSA-N	cilnidipine
JCP2022_048025	KZSKGLFYQAYZCO-UHFFFAOYSA-N	cilofexor
JCP2022_010699	CFBUZOUXXHZCFB-UHFFFAOYSA-N	cilomilast
JCP2022_089365	UIAYVIIHMORPSJ-UHFFFAOYSA-N	cilostamide
JCP2022_080224	RRGUKTPIGVIEKM-UHFFFAOYSA-N	cilostazol
JCP2022_003124	AQIXAKUUQRKLND-UHFFFAOYSA-N	cimetidine
JCP2022_093207	VDHAWDNDOKGFTD-UHFFFAOYSA-N	cinacalcet
JCP2022_100410	WPYWMXNXEZFMAK-UHFFFAOYSA-N	cinaciguat
JCP2022_070967	PUFQVTATUTYEAL-UHFFFAOYSA-N	cinchocaine
JCP2022_045606	KMPWYEUPVWOPIM-UHFFFAOYSA-N	cinchonidine
JCP2022_045606	KMPWYEUPVWOPIM-UHFFFAOYSA-N	cinchonine
JCP2022_110781	YTRMTPPVNRALON-UHFFFAOYSA-N	cinchophen
JCP2022_077534	RCUDFXMNPQNBDU-UHFFFAOYSA-N	cinepazide
JCP2022_045052	KJPRLNWUNMBNBZ-UHFFFAOYSA-N	cinnamaldehyde
JCP2022_015436	DERZBLKQOCDDDZ-UHFFFAOYSA-N	cinnarazine
JCP2022_043516	KBKUJJFDSHBPPA-UHFFFAOYSA-N	cinobufotalin
JCP2022_053383	MDGVCMGGLSOVIQ-UHFFFAOYSA-N	cinoctramide
JCP2022_093328	VDUWPHTZYNWKRN-UHFFFAOYSA-N	cinoxacin
JCP2022_004697	AYQBYSPEGRYKFA-UHFFFAOYSA-N	CINPA-1
JCP2022_048676	LDCXGZCEMNMWIL-UHFFFAOYSA-N	cinromide
JCP2022_027851	GULSIMHVQYBADX-UHFFFAOYSA-N	cintirorgon
JCP2022_011707	CKLPLPZSUQEDRT-UHFFFAOYSA-N	cipargamin
JCP2022_046194	KPSRODZRAIWAKH-UHFFFAOYSA-N	ciprofibrate
JCP2022_057423	MYSWGUAQZAJSOK-UHFFFAOYSA-N	ciprofloxacin
JCP2022_000511	ACQBHJXEAYTHCY-UHFFFAOYSA-N	ciproxifan
JCP2022_097143	VYMILMYEENZHAR-UHFFFAOYSA-N	CIQ
JCP2022_027755	GTZCVFVGUGFEME-UHFFFAOYSA-N	cis-aconitic-acid
JCP2022_050710	LOIYMIARKYCTBW-UHFFFAOYSA-N	cis-urocanic-acid
JCP2022_015087	DCSUBABJRXZOMT-UHFFFAOYSA-N	cisapride
JCP2022_073374	QGZKDVFQNNGYKY-UHFFFAOYSA-N	cisplatin
JCP2022_100839	WSEQXVZVJXJVFP-UHFFFAOYSA-N	citalopram
JCP2022_100839	WSEQXVZVJXJVFP-UHFFFAOYSA-N	escitalopram
JCP2022_094736	VLIUIBXPEDFJRF-UHFFFAOYSA-N	citarinostat
JCP2022_060838	NRFJZTXWLKPZAV-UHFFFAOYSA-N	citiolone
JCP2022_093619	VFMLAMXNKQWUKP-UHFFFAOYSA-N	CJ-033466
JCP2022_095509	VPTONMHDLLMOOV-UHFFFAOYSA-N	CJ-13610
JCP2022_034397	IDRGFNPZDVBSSE-UHFFFAOYSA-N	CK-101
JCP2022_000391	ACAKNPKRLPMONU-UHFFFAOYSA-N	CK-636
JCP2022_108219	YGCQFKVNIBDJFW-UHFFFAOYSA-N	CKD-712
JCP2022_063637	OGKYMFFYOWUTKV-UHFFFAOYSA-N	CKI-7
JCP2022_070859	PTOAARAWEBMLNO-UHFFFAOYSA-N	cladribine
JCP2022_001279	AGOYDEPGAOXOCK-UHFFFAOYSA-N	clarithromycin
JCP2022_089351	UHZZNJMZGMUGFB-UHFFFAOYSA-N	clavulanate
JCP2022_008959	BVPWJMCABCPUQY-UHFFFAOYSA-N	clebopride
JCP2022_109590	YNNUSGIPVFPVBX-UHFFFAOYSA-N	clemastine
JCP2022_011605	CJXAEXPPLWQRFR-UHFFFAOYSA-N	clemizole
JCP2022_069450	PLWGSEYKEKXMIX-UHFFFAOYSA-N	cleviprex
JCP2022_024278	GBBJCSTXCAQSSJ-UHFFFAOYSA-N	clevudine
JCP2022_066536	OWEGWHBOCFMBLP-UHFFFAOYSA-N	climbazole
JCP2022_073308	QGPKADBNRMWEQR-UHFFFAOYSA-N	clinafloxacin
JCP2022_043896	KDLRVYVGXIQJDK-UHFFFAOYSA-N	clindamycin
JCP2022_066987	OYSKUZDIHNKWLV-UHFFFAOYSA-N	clindamycin-palmitate
JCP2022_102937	XDJGZAFTCTYHSZ-UHFFFAOYSA-N	clindamycin-phosphate
JCP2022_007309	BMOVQUBVGICXQN-UHFFFAOYSA-N	clinofibrate
JCP2022_072482	QCDFBFJGMNKBDO-UHFFFAOYSA-N	clioquinol
JCP2022_096257	VTWNBHBLWRWSOB-UHFFFAOYSA-N	clobetasol-propionate
JCP2022_032779	HUYVOKGTJJWNAG-UHFFFAOYSA-N	clobetasone-butyrate
JCP2022_084138	SMDQENAKEXGVHN-UHFFFAOYSA-N	clodronic-acid
JCP2022_097990	WDDPHFBMKLOVOX-UHFFFAOYSA-N	clofarabine
JCP2022_052180	LWOJLHGUZZEVRZ-UHFFFAOYSA-N	clofazimine
JCP2022_045731	KNHUKKLJHYUCFP-UHFFFAOYSA-N	clofibrate
JCP2022_087287	TXCGAZHTZHNUAI-UHFFFAOYSA-N	clofibric-acid
JCP2022_100364	WPSYTTKBGAZSCX-UHFFFAOYSA-N	clofilium
JCP2022_031975	HQVZOORKDNCGCK-UHFFFAOYSA-N	clofoctol
JCP2022_026043	GKIRPKYJQBWNGO-UHFFFAOYSA-N	clomifene
JCP2022_024749	GDLIGKIOYRNHDA-UHFFFAOYSA-N	clomipramine
JCP2022_025946	GJSURZIOUXUGAL-UHFFFAOYSA-N	clonidine
JCP2022_011917	CLOMYZFHNHFSIQ-UHFFFAOYSA-N	clonixin
JCP2022_011917	CLOMYZFHNHFSIQ-UHFFFAOYSA-N	clonixin-lysinate
JCP2022_048460	LBXHRAWDUMTPSE-UHFFFAOYSA-N	clopamide
JCP2022_021420	FLNXBVJLPJNOSI-UHFFFAOYSA-N	cloperastine
JCP2022_021420	FLNXBVJLPJNOSI-UHFFFAOYSA-N	cloperastine-fendizoate
JCP2022_026130	GKTWGGQPFAXNFI-UHFFFAOYSA-N	clopidogrel
JCP2022_112655	ZDPIZLCVJAAHHR-UHFFFAOYSA-N	clopidol
JCP2022_094320	VJGGHXVGBSZVMZ-UHFFFAOYSA-N	cloprostenol-(+/-)
JCP2022_008513	BTFHLQRNAMSNLC-UHFFFAOYSA-N	clorgiline
JCP2022_085334	SSMSBSWKLKKXGG-UHFFFAOYSA-N	clorprenaline
JCP2022_074916	QOVTVIYTBRHADL-UHFFFAOYSA-N	clorsulon
JCP2022_040768	JMPFSEBWVLAJKM-UHFFFAOYSA-N	closantel
JCP2022_095059	VNFPBHJOKIVQEB-UHFFFAOYSA-N	clotrimazole
JCP2022_051111	LQOLIRLGBULYKD-UHFFFAOYSA-N	cloxacillin
JCP2022_013336	CTQMJYWDVABFRZ-UHFFFAOYSA-N	cloxyquin
JCP2022_006032	BFSRTTWIPACGMI-UHFFFAOYSA-N	CNX-2006
JCP2022_096564	VVLHQJDAUIPZFH-UHFFFAOYSA-N	CNX-774
JCP2022_112440	ZCIGNRJZKPOIKD-UHFFFAOYSA-N	cobicistat
JCP2022_008375	BSMCAPRUBJMWDF-UHFFFAOYSA-N	cobimetinib
JCP2022_024467	GBZKZQGETAQRBG-UHFFFAOYSA-N	coenzyme-A
JCP2022_056911	MWBVNIMORFEJDU-UHFFFAOYSA-N	coenzyme-I
JCP2022_037897	IWWNJJYZVFOLBL-UHFFFAOYSA-N	coenzyme-Q10
JCP2022_049239	LGGDLPSXAGQFSG-UHFFFAOYSA-N	COH29
JCP2022_033814	IAKHMKGGTNLKSZ-UHFFFAOYSA-N	colchicine
JCP2022_063770	OHCQJHSOBUTRHG-UHFFFAOYSA-N	colforsin
JCP2022_063770	OHCQJHSOBUTRHG-UHFFFAOYSA-N	forskolin
JCP2022_032935	HVXBOLULGPECHP-UHFFFAOYSA-N	combretastatin-A-4
JCP2022_008972	BVRDQVRQVGRNHG-UHFFFAOYSA-N	compound-401
JCP2022_035570	IKENVDNFQMCRTR-UHFFFAOYSA-N	conivaptan
JCP2022_002900	APGBLEASYXGLCD-UHFFFAOYSA-N	convallatoxin
JCP2022_057083	MWYDSXOGIBMAET-UHFFFAOYSA-N	copanlisib
JCP2022_031275	HNDVDQJCIGZPNO-UHFFFAOYSA-N	copper-histidine
JCP2022_063422	OFEZSBMBBKLLBJ-UHFFFAOYSA-N	cordycepin
JCP2022_029822	HFGSQOYIOKBQOW-UHFFFAOYSA-N	corosolic-acid
JCP2022_064701	OMFXVFTZEKFJBZ-UHFFFAOYSA-N	corticosterone
JCP2022_053900	MFYSYFVPBJMHGN-UHFFFAOYSA-N	cortisone
JCP2022_083960	SLEIAHSDXRGERW-UHFFFAOYSA-N	cortisone-acetate
JCP2022_098695	WHBHBVVOGNECLV-UHFFFAOYSA-N	cortodoxone
JCP2022_032186	HRYLQFBHBWLLLL-UHFFFAOYSA-N	costunolide
JCP2022_068630	PHNZIIMWDVXPGG-UHFFFAOYSA-N	cot-inhibitor-2
JCP2022_091390	UTDAKQMBNSHJJB-UHFFFAOYSA-N	COTI-2
JCP2022_089439	UIKROCXWUNQSPJ-UHFFFAOYSA-N	cotinine
JCP2022_116437	ZYGHJZDHTFUPRJ-UHFFFAOYSA-N	coumarin
JCP2022_086813	TUPKOWFPVAXQFP-UHFFFAOYSA-N	CP-532623
JCP2022_048759	LDQKDRLEMKIYMC-UHFFFAOYSA-N	CP-640186
JCP2022_015333	DEEOXSOLTLIWMG-UHFFFAOYSA-N	CP-673451
JCP2022_050271	LLVZBTWPGQVVLW-UHFFFAOYSA-N	CP-724714
JCP2022_030434	HINJNZFCMLSBCI-UHFFFAOYSA-N	CP-91149
JCP2022_090264	UNAZAADNBYXMIV-UHFFFAOYSA-N	CP-945,598
JCP2022_069991	PONANXDRJJIGPG-UHFFFAOYSA-N	CPA-inhibitor
JCP2022_023548	FXCTZFMSAHZQTR-UHFFFAOYSA-N	CPCCOEt
JCP2022_024620	GCWIQUVXWZWCLE-UHFFFAOYSA-N	CPI-0610
JCP2022_016289	DJKNRCWSXSZACF-UHFFFAOYSA-N	CPI-1189
JCP2022_031744	HPODOLXTMDHLLC-UHFFFAOYSA-N	CPI-1205
JCP2022_049418	LHGUZCKPFXXVPV-UHFFFAOYSA-N	CPI-169
JCP2022_072832	QECMENZMDBOLDR-UHFFFAOYSA-N	CPI-203
JCP2022_068298	PFPSFENQCNMITC-UHFFFAOYSA-N	CPI-360
JCP2022_047121	KURQKNMKCGYWRJ-UHFFFAOYSA-N	CPI-444
JCP2022_116521	ZYRLHJIMTROTBO-UHFFFAOYSA-N	CPI-613
JCP2022_027931	GUWOSEVHCSNYFK-UHFFFAOYSA-N	CPSI-1306-(+/-)
JCP2022_013739	CVSVTCORWBXHQV-UHFFFAOYSA-N	creatine
JCP2022_008653	BTXYOFGSUFEOLA-UHFFFAOYSA-N	creatinine
JCP2022_107505	YCBAQKQAINQRFW-UHFFFAOYSA-N	crenigacestat
JCP2022_019001	DYNHJHQFHQTFTP-UHFFFAOYSA-N	crenolanib
JCP2022_037769	IWDCLRJOBJJRNH-UHFFFAOYSA-N	cresol
JCP2022_090511	UOMKBIIXHQIERR-UHFFFAOYSA-N	cridanimod
JCP2022_091346	USZAGAREISWJDP-UHFFFAOYSA-N	crisaborole
JCP2022_046839	KTEIFNKAUNYNJU-UHFFFAOYSA-N	crizotinib
JCP2022_046839	KTEIFNKAUNYNJU-UHFFFAOYSA-N	crizotinib-(S)
JCP2022_002617	ANTUWCUHGWGJQS-UHFFFAOYSA-N	crolibulin
JCP2022_087087	TVZCRIROJQEVOT-UHFFFAOYSA-N	cromakalim
JCP2022_087087	TVZCRIROJQEVOT-UHFFFAOYSA-N	levcromakalim
JCP2022_036101	IMZMKUWMOSJXDT-UHFFFAOYSA-N	cromoglicic-acid
JCP2022_017066	DNTGGZPQPQTDQF-UHFFFAOYSA-N	crotamiton
JCP2022_006643	BIUCOFQROHIAEO-UHFFFAOYSA-N	CRT0044876
JCP2022_034125	ICAXIVZVKMILFF-UHFFFAOYSA-N	cryptotanshinone
JCP2022_049266	LGLFFNDHMLKUMI-UHFFFAOYSA-N	crystal-violet
JCP2022_058866	NGQIKHLRDKUYQG-UHFFFAOYSA-N	CS-917
JCP2022_092237	UXSWXYHTBXXKFZ-UHFFFAOYSA-N	CT-7758
JCP2022_100365	WPTDFQICNWPUPP-UHFFFAOYSA-N	CT7001
JCP2022_026750	GOHCTCOGYKAJLZ-UHFFFAOYSA-N	CTEP
JCP2022_069371	PLIVFNIUGLLCEK-UHFFFAOYSA-N	CUDC-101
JCP2022_032256	HSHPBORBOJIXSQ-UHFFFAOYSA-N	CUDC-427
JCP2022_041185	JOWXJLIFIIOYMS-UHFFFAOYSA-N	CUDC-907
JCP2022_100282	WPHXYKUPFJRJDK-UHFFFAOYSA-N	CUR-61414
JCP2022_093608	VFLDPWHFBUODDF-UHFFFAOYSA-N	curcumin
JCP2022_075428	QRMPRVXWPCLVNI-UHFFFAOYSA-N	curcumol
JCP2022_091907	UVSWWUWQVAQPJR-UHFFFAOYSA-N	cutamesine
JCP2022_082315	SCNILGOVBBRMBK-UHFFFAOYSA-N	CV-1808
JCP2022_111730	YYOOFJZTRCPVFD-UHFFFAOYSA-N	CVT-10216
JCP2022_056621	MUOKSQABCJCOPU-UHFFFAOYSA-N	CX-4945
JCP2022_009232	BXBNADAPIHHXJQ-UHFFFAOYSA-N	CX-516
JCP2022_103514	XGPBJCHFROADCK-UHFFFAOYSA-N	CX-5461
JCP2022_031685	HPHBOJANXDKUQD-UHFFFAOYSA-N	cyacetacide
JCP2022_083966	SLFGIOIONGJGRT-UHFFFAOYSA-N	cyamemazine
JCP2022_006000	BFOWVMZUKTYNPH-UHFFFAOYSA-N	cyanocobalamin
JCP2022_006000	BFOWVMZUKTYNPH-UHFFFAOYSA-N	hydroxocobalamin
JCP2022_006000	BFOWVMZUKTYNPH-UHFFFAOYSA-N	methylcobalamin
JCP2022_006000	BFOWVMZUKTYNPH-UHFFFAOYSA-N	vitamin-B12
JCP2022_076510	QXIUMMLTJVHILT-UHFFFAOYSA-N	cyanopindolol
JCP2022_016724	DLPIYBKBHMZCJI-UHFFFAOYSA-N	CYC065
JCP2022_026996	GPSZYOIFQZPWEJ-UHFFFAOYSA-N	CYC116
JCP2022_029233	HCAJEUSONLESMK-UHFFFAOYSA-N	cyclamic-acid
JCP2022_102150	WZHCOOQXZCIUNC-UHFFFAOYSA-N	cyclandelate
JCP2022_017016	DNLSQHSVOPMSOH-UHFFFAOYSA-N	cyclic-AMP
JCP2022_091841	UVKZSORBKUEBAZ-UHFFFAOYSA-N	cyclizine
JCP2022_042239	JURKNVYFZMSNLP-UHFFFAOYSA-N	cyclobenzaprine
JCP2022_005161	BBDAGFIXKZCXAH-UHFFFAOYSA-N	cyclocytidine
JCP2022_109917	YPHMISFOHDHNIV-UHFFFAOYSA-N	cycloheximide
JCP2022_072210	QASFUMOKHFSJGL-UHFFFAOYSA-N	cyclopamine
JCP2022_083926	SKYSRIRYMSLOIN-UHFFFAOYSA-N	cyclopentolate
JCP2022_012146	CMSMOCZEIVJLDB-UHFFFAOYSA-N	cyclophosphamide
JCP2022_074366	QMBUCWVILCOIEG-UHFFFAOYSA-N	cyclopiazonic-acid
JCP2022_018934	DYDCUQKUCUHJBH-UHFFFAOYSA-N	cycloserine-(D)
JCP2022_069491	PMATZTZNYRCHOR-UHFFFAOYSA-N	cyclosporin-A
JCP2022_007598	BOCUKUHCLICSIY-UHFFFAOYSA-N	cyclothiazide
JCP2022_026439	GMNAPBAUIVITMI-UHFFFAOYSA-N	cyclovirobuxin-D
JCP2022_041202	JOYYUASGJAHBEA-UHFFFAOYSA-N	CycLuc1
JCP2022_020718	FHPOTBQOUBMMCI-UHFFFAOYSA-N	CYM-50260
JCP2022_076300	QWJOPXDAQCDRRM-UHFFFAOYSA-N	CYM-50358
JCP2022_061421	NUIKTBLZSPQGCP-UHFFFAOYSA-N	CYM-5442
JCP2022_021678	FMYGNANMYYHBSU-UHFFFAOYSA-N	CYM-5520
JCP2022_058264	NDKGACIWVAOUQH-UHFFFAOYSA-N	CYM-5541
JCP2022_040118	JJCFRYNCJDLXIK-UHFFFAOYSA-N	cyproheptadine
JCP2022_102267	WZXZCWIUJRKDJF-UHFFFAOYSA-N	cyproterone-acetate
JCP2022_051996	LVQDKIWDGQRHTE-UHFFFAOYSA-N	cyromazine
JCP2022_088927	UFULAYFCSOUIOV-UHFFFAOYSA-N	cysteamine
JCP2022_056401	MTJHLONVHHPNSI-UHFFFAOYSA-N	CYT-997
JCP2022_115903	ZVHNDZWQTBEVRY-UHFFFAOYSA-N	cyt387
JCP2022_089207	UHDGCWIWMRVCDJ-UHFFFAOYSA-N	cytarabine
JCP2022_089207	UHDGCWIWMRVCDJ-UHFFFAOYSA-N	cytidine
JCP2022_002547	ANJTVLIZGCUXLD-UHFFFAOYSA-N	cytisine
JCP2022_011862	CLGWUCNXOBLWFM-UHFFFAOYSA-N	CZC-54252
JCP2022_081399	RXRZPHQBTHQXSV-UHFFFAOYSA-N	CZC24832
JCP2022_027773	GUBGYTABKSRVRQ-UHFFFAOYSA-N	D-(+)-maltose
JCP2022_055287	MNLHFGXIUJNDAF-UHFFFAOYSA-N	D-157495
JCP2022_113208	ZGTYTFYRCIRWBL-UHFFFAOYSA-N	D-3263
JCP2022_017342	DPDZHVCKYBCJHW-UHFFFAOYSA-N	D-4476
JCP2022_034200	ICMIJSRDISNKOC-UHFFFAOYSA-N	D-64131
JCP2022_110768	YTPQSLLEROSACP-UHFFFAOYSA-N	D-7193
JCP2022_028701	GZIFEOYASATJEH-UHFFFAOYSA-N	D-delta-tocopherol
JCP2022_104534	XMGQYMWWDOXHJM-UHFFFAOYSA-N	D-limonene
JCP2022_012473	COLNVLDHVKWLRT-UHFFFAOYSA-N	D-phenylalanine
JCP2022_001070	AFNIGYOBGXVNEF-UHFFFAOYSA-N	D-serine
JCP2022_043028	JYVXNLLUYHCIIH-UHFFFAOYSA-N	D,L-mevalonic-acid-lactone
JCP2022_015081	DCRZYADKQRHHSF-UHFFFAOYSA-N	DAA-1106
JCP2022_107456	YBSJFWOBGCMAKL-UHFFFAOYSA-N	dabigatran
JCP2022_046683	KSGXQBZTULBEEQ-UHFFFAOYSA-N	dabigatran-etexilate
JCP2022_006029	BFSMGDJOXZAERB-UHFFFAOYSA-N	dabrafenib
JCP2022_019933	FDKXTQMXEQVLRF-UHFFFAOYSA-N	dacarbazine
JCP2022_009066	BWDQBBCUWLSASG-UHFFFAOYSA-N	dacinostat
JCP2022_021268	FKRSSPOQAMALKA-UHFFFAOYSA-N	daclatasvir
JCP2022_052047	LVXJQMNHJWSHET-UHFFFAOYSA-N	dacomitinib
JCP2022_115069	ZQSIJRDFPHDXIC-UHFFFAOYSA-N	daidzein
JCP2022_047830	KYQZWONCHDNPDP-UHFFFAOYSA-N	daidzin
JCP2022_051043	LQERMDXPGNOJCT-UHFFFAOYSA-N	dalbavancin
JCP2022_111911	YZQLWPMZQVHJED-UHFFFAOYSA-N	dalcetrapib
JCP2022_061437	NUKYPUAOHBNCPY-UHFFFAOYSA-N	dalfampridine
JCP2022_085796	SUYRLXYYZQTJHF-UHFFFAOYSA-N	dalfopristin
JCP2022_037494	IULOBWFWYDMECP-UHFFFAOYSA-N	daltroban
JCP2022_060377	NOQGZXFMHARMLW-UHFFFAOYSA-N	daminozide
JCP2022_070064	POZRVZJJTULAOH-UHFFFAOYSA-N	danazol
JCP2022_006669	BIZKIHUJGMSVFD-UHFFFAOYSA-N	danegaptide
JCP2022_058938	NGYNBSHYFOFVLS-UHFFFAOYSA-N	danirixin
JCP2022_074450	QMLVECGLEOSESV-UHFFFAOYSA-N	danofloxacin
JCP2022_115985	ZVTDLPBHTSMEJZ-UHFFFAOYSA-N	danoprevir
JCP2022_036072	IMVWGCIUSSJUAA-UHFFFAOYSA-N	dantrolene
JCP2022_072381	QBPFLULOKWLNNW-UHFFFAOYSA-N	dantron
JCP2022_046462	KRBSMMVJJVHVCB-UHFFFAOYSA-N	danusertib
JCP2022_042367	JVHXJTBJCFBINQ-UHFFFAOYSA-N	dapagliflozin
JCP2022_051051	LQFRYKBDZNPJSW-UHFFFAOYSA-N	dapansutrile
JCP2022_003696	ATEFPOUAMCWAQS-UHFFFAOYSA-N	daphnetin
JCP2022_078103	RFWZESUMWJKKRN-UHFFFAOYSA-N	dapiprazole
JCP2022_035748	ILAYIAGXTHKHNT-UHFFFAOYSA-N	dapivirine
JCP2022_091282	USRHYDPUVLEVMC-UHFFFAOYSA-N	dapoxetine
JCP2022_061666	NVTKJBXOBFRPLQ-UHFFFAOYSA-N	daprodustat
JCP2022_055852	MQJKPEGWNLWLTK-UHFFFAOYSA-N	dapsone
JCP2022_018627	DWJXYEABWRJFSP-UHFFFAOYSA-N	DAPT
JCP2022_017123	DOAKLVKFURWEDJ-UHFFFAOYSA-N	daptomycin
JCP2022_098065	WDPFJWLDPVQCAJ-UHFFFAOYSA-N	darapladib
JCP2022_033212	HXGBXQDTNZMWGS-UHFFFAOYSA-N	darifenacin
JCP2022_090277	UNCRTZNMCJCUDV-UHFFFAOYSA-N	darolutamide
JCP2022_011436	CJBJHOAVZSMMDJ-UHFFFAOYSA-N	darunavir
JCP2022_020117	FEJVSJIALLTFRP-UHFFFAOYSA-N	darusentan
