Metadata_JCP2022	Metadata_broad_sample	Metadata_InChIKey	Metadata_pert_iname	Metadata_pubchem_cid
JCP2022_071811	BRD-K91456750-001-01-9	PYNXFZCZUAOOQC-UHFFFAOYSA-N	sacubitril	9811834
JCP2022_001036	BRD-K25412176-001-04-9	AFJRDFWMXUECEW-UHFFFAOYSA-N	GSK2110183	46843057
JCP2022_043332	BRD-K64054020-001-04-9	KAQKFAOMNZTLHT-UHFFFAOYSA-N	epoprostenol	5282411
JCP2022_077671	BRD-K61250553-003-30-6	RDOIQAHITMMDAJ-UHFFFAOYSA-N	loperamide	3955
JCP2022_021751	BRD-K16730910-001-12-9	FNHKPVJBJVTLMP-UHFFFAOYSA-N	regorafenib	11167602
JCP2022_064903	BRD-K01666412-001-02-0	ONIBWKKTOPOVIA-UHFFFAOYSA-N	L-proline	145742
JCP2022_069668	BRD-K50836978-001-04-9	PMXCMJLOPOFPBT-UHFFFAOYSA-N	purvalanol-a	456214
JCP2022_017377	BRD-K26989966-001-04-3	DPJNKUOXBZSZAI-UHFFFAOYSA-N	UNC1999	72551585
JCP2022_097564	BRD-K51265828-001-02-9	WATNXVHKRRTUFK-UHFFFAOYSA-N	M-25	44250034
JCP2022_107658	BRD-K49223707-001-01-0	YCYMCMYLORLIJX-UHFFFAOYSA-N	arundic-acid	208925
JCP2022_093901	BRD-K52960356-001-15-5	VGZSUPCWNCWDAN-UHFFFAOYSA-N	acetohexamide	1989
JCP2022_081496	BRD-A91822151-001-05-0	RYEFFICCPKWYML-UHFFFAOYSA-N	picrotin	4815
JCP2022_073458	BRD-K54330070-001-15-4	QHKYPYXTTXKZST-UHFFFAOYSA-N	SB-202190	
JCP2022_065525	BRD-K60476892-001-17-9	OQQVFCKUDYMWGV-UHFFFAOYSA-N	YC-1	5712
JCP2022_076300	BRD-K80666802-003-02-9	QWJOPXDAQCDRRM-UHFFFAOYSA-N	CYM-50358	53358422
JCP2022_059269	BRD-K51662849-001-05-4	NITYDPDXAAFEIT-UHFFFAOYSA-N	ilomastat	132519
JCP2022_002118	BRD-K33882852-003-04-9	ALBKMJDFBZVHAK-UHFFFAOYSA-N	ZK-93423	121926
JCP2022_106680	BRD-K86930074-001-06-9	XXJWYDDUDKYVKI-UHFFFAOYSA-N	cediranib	9933475
JCP2022_041139	BRD-K12502280-001-16-9	JOOXLOJCABQBSG-UHFFFAOYSA-N	TG-101348	16722836
JCP2022_043287	BRD-K72726508-001-02-1	KAJXOWFGKYKMMZ-UHFFFAOYSA-N	arcyriaflavin-a	5327723
JCP2022_058461	BRD-K77060810-001-01-5	NEMHKCNXXRQYRF-UHFFFAOYSA-N	AZD1283	23649325
JCP2022_081555	BRD-K22134346-001-21-5	RYMZZMVNJRMUDD-UHFFFAOYSA-N	simvastatin	54454
JCP2022_062592	BRD-K16761703-001-03-8	OAVGBZOFDPFGPJ-UHFFFAOYSA-N	sotrastaurin	10296883
JCP2022_007175	BRD-K61688984-001-06-9	BLVQHYHDYFTPDV-UHFFFAOYSA-N	RGFP966	56650312
JCP2022_055904	BRD-K06674495-334-04-0	MQQNFDZXWVTQEH-UHFFFAOYSA-N	nafamostat	4413
JCP2022_003951	BRD-A36217750-001-16-3	AUMHDRMJJNZTPB-UHFFFAOYSA-N	sulfinpyrazone	5342
JCP2022_094002	BRD-K78692225-001-24-5	VHOGYURTWQBHIL-UHFFFAOYSA-N	leflunomide	3899
JCP2022_087562	BRD-K69122748-001-10-1	TYNLGDBUJLVSMA-UHFFFAOYSA-N	diacerein	26248
JCP2022_078581	BRD-K16803204-001-02-9	RIJLVEAXPNLDTC-UHFFFAOYSA-N	filgotinib	49831257
JCP2022_046649	BRD-A00827783-001-24-6	KSCFJBIXMNOVSH-UHFFFAOYSA-N	dyphylline	3182
JCP2022_001275	BRD-K27539181-001-09-9	AGNWVEJTZJIJIM-UHFFFAOYSA-N	ML-193	1261822
JCP2022_035351	BRD-A23124853-001-01-4	IIXWYSCJSQVBQM-UHFFFAOYSA-N	PF-06463922	78162481
JCP2022_035570	BRD-K37385792-003-02-1	IKENVDNFQMCRTR-UHFFFAOYSA-N	conivaptan	151171
JCP2022_052259	BRD-A89164055-001-04-9	LXANPKRCLVQAOG-UHFFFAOYSA-N	sorbinil	5252
JCP2022_039116	BRD-K20897876-001-10-0	JDVVGAQPNNXQDW-UHFFFAOYSA-N	castanospermine	54445
JCP2022_086505	BRD-K50498985-001-03-3	SZBGQDXLNMELTB-UHFFFAOYSA-N	taladegib	49848070
JCP2022_090884	BRD-K11796549-001-06-9	UQNAFPHGVPVTAL-UHFFFAOYSA-N	NBQX	3272524
JCP2022_093047	BRD-K01825589-310-02-9	VCKUSRYTPJJLNI-UHFFFAOYSA-N	terazosin	5401
JCP2022_053626	BRD-K16472653-001-03-9	MENNDDDTIIZDDN-UHFFFAOYSA-N	SirReal-2	1096292
JCP2022_099089	BRD-A72767275-003-01-6	WJBLNOPPDWQMCH-UHFFFAOYSA-N	nalmefene	4422
JCP2022_009419	BRD-A82396632-008-28-2	BYBLEWFAAKGYCD-UHFFFAOYSA-N	miconazole	4189
JCP2022_022191	BRD-K91543828-001-02-0	FPVKHBSQESCIEP-UHFFFAOYSA-N	pentostatin	439693
JCP2022_001890	BRD-A22713669-001-03-5	AJVXVYTVAAWZAP-UHFFFAOYSA-N	BVT-948	44483339
JCP2022_078588	BRD-K56810756-003-07-7	RIKMMFOAQPJVMX-UHFFFAOYSA-N	fomepizole	3406
JCP2022_018074	BRD-A83029242-001-08-7	DTGLZDAWLRGWQN-UHFFFAOYSA-N	prasugrel	6918456
JCP2022_077046	BRD-K99616396-316-05-3	RAHBGWKEPAQNFF-UHFFFAOYSA-N	motesanib	11667893
JCP2022_035095	BRD-K47557313-001-03-9	IHLVSLOZUHKNMQ-UHFFFAOYSA-N	LY2109761	11655119
JCP2022_039047	BRD-A64173453-015-03-1	JDKKNQACNITFEA-UHFFFAOYSA-N	octreotide	383414
JCP2022_074702	BRD-K44432556-001-02-2	QNRODODTMXCRKU-UHFFFAOYSA-N	ML-228	46742353
JCP2022_045105	BRD-A84687895-001-03-2	KJWGEXJCWCYEMI-UHFFFAOYSA-N	nilvadipine	4494
JCP2022_114461	BRD-K36927236-001-30-0	ZNNLBTZKUZBEKO-UHFFFAOYSA-N	glyburide	3488
JCP2022_044972	BRD-K19227686-001-18-6	KJFMBFZCATUALV-UHFFFAOYSA-N	phenolphthalein	4764
JCP2022_077927	BRD-K16542329-001-13-5	REZGGXNDEMKIQB-UHFFFAOYSA-N	zaprinast	5722
JCP2022_087693	BRD-A86665761-001-01-1	TZDUHAJSIBHXDL-UHFFFAOYSA-N	gabapentin-enacarbil	9883933
JCP2022_059825	BRD-K57708067-001-02-9	NLSSUSRERAMBTA-UHFFFAOYSA-N	TFC-007	16040067
JCP2022_033012	BRD-A48180038-003-24-3	HWHLPVGTWGOCJO-UHFFFAOYSA-N	trihexyphenidyl	5572
JCP2022_062184	BRD-K36574127-001-04-9	NYNZQNWKBKUAII-UHFFFAOYSA-N	LOXO-101	46188928
JCP2022_067426	BRD-A01078468-001-14-8	PBBGSZCBWVPOOL-UHFFFAOYSA-N	hexestrol	3606
JCP2022_100876	BRD-K67915505-001-01-2	WSMQUUGTQYPVPD-UHFFFAOYSA-N	NVP-HSP990	46216556
JCP2022_059103	BRD-K14681867-001-01-6	NHXLMOGPVYXJNR-UHFFFAOYSA-N	somatostatin	101826531
JCP2022_092256	BRD-K61845293-300-03-9	UXUQIRNFBFRPAC-UHFFFAOYSA-N	DDR1-IN-1	72836888
JCP2022_084364	BRD-K01825660-322-01-9	SNICXCGAKADSCV-UHFFFAOYSA-N	nicotine	942
JCP2022_009867	BRD-K06426971-001-04-9	CANBMWXJDLUDFF-UHFFFAOYSA-N	ryuvidine	481747
JCP2022_034137	BRD-K48830578-001-01-9	ICDMLAQPOAVWNH-UHFFFAOYSA-N	OMDM-2	6604915
JCP2022_083372	BRD-K53061490-003-13-9	SHZKQBHERIJWAO-UHFFFAOYSA-N	ozagrel	5282440
JCP2022_077142	BRD-A10739734-003-09-8	RATZLMXRALDSJW-UHFFFAOYSA-N	efaroxan	72016
JCP2022_097998	BRD-K64034691-001-01-9	WDENQIQQYWYTPO-UHFFFAOYSA-N	acalabrutinib	71226662
JCP2022_062023	BRD-K20093108-001-02-3	NXNKJLOEGWSJGI-UHFFFAOYSA-N	BMS-587101	11635371
JCP2022_050162	BRD-A25569250-001-03-3	LLIFMNUXGDHTRO-UHFFFAOYSA-N	KI-16425	10367662
JCP2022_060311	BRD-K12102668-001-25-5	NOIIUHRQUVNIDD-UHFFFAOYSA-N	nialamide	4472
JCP2022_085892	BRD-A58048407-001-20-4	SVMHYHIZWOJKDL-UHFFFAOYSA-N	nimodipine	4497
JCP2022_010654	BRD-K70358946-001-14-0	CEUORZQYGODEFX-UHFFFAOYSA-N	aripiprazole	60795
JCP2022_090768	BRD-K77087341-001-02-4	UPWGQKDVAURUGE-UHFFFAOYSA-N	2-Oleoylglycerol	5319879
JCP2022_112828	BRD-K18289362-001-03-9	ZESFDAKNYJQYKO-UHFFFAOYSA-N	PF-915275	23725123
JCP2022_030831	BRD-K55567017-001-12-3	HKQYGTCOTHHOMP-UHFFFAOYSA-N	formononetin	5280378
JCP2022_075916	BRD-K31170746-001-03-9	QUGDTMONBLMLLD-UHFFFAOYSA-N	ANR-94	11805896
JCP2022_068634	BRD-A18992208-003-02-7	PHOGQKDIVUJGMJ-UHFFFAOYSA-N	lercanidipine	65866
JCP2022_096067	BRD-K80970344-201-10-9	VSWDORGPIHIGNW-UHFFFAOYSA-N	pyrrolidine-dithiocarbamate	65351
JCP2022_032357	BRD-A69636825-003-04-7	HSUGRBWQSSZJOP-UHFFFAOYSA-N	diltiazem	3076
JCP2022_047545	BRD-K87782578-001-03-9	KXBDTLQSDKGAEB-UHFFFAOYSA-N	AVL-292	59174488
JCP2022_043099	BRD-K98763141-001-30-8	JZFPYUNJRRFVQU-UHFFFAOYSA-N	niflumic-acid	4488
JCP2022_050516	BRD-K19975102-001-02-0	LNFZRMDSZJCZTG-UHFFFAOYSA-N	GNF-5837	59397065
JCP2022_033924		IAZDPXIOMUYVGZ-UHFFFAOYSA-N	DMSO	679
